
t1##2020-05-04 21:06##2020-05-04 21:06##1##0.50##0

t9##2020-05-04 23:02##2020-05-04 23:03##1##0.50##0

t9##2020-05-04 23:03##2020-05-04 23:03##1##0.50##0

t9##2020-05-04 23:49##2020-05-04 23:50##1##0.50##0

t9##2020-05-04 23:50##2020-05-05 00:56##1##0.50##0

t123##2020-05-05 03:40##2020-05-05 03:41##1##0.50##0

t34##2020-05-05 04:17##2020-05-05 04:18##1##0.50##0

t111##2020-05-12 10:10##2020-05-12 10:12##1##0.50##0
t2##2020-05-14 17:58##1970-01-01 08:00##0##0.00##0
test1##2021-05-04 11:28##1970-01-01 08:00##0##0.00##0
